hidden_size,prediction_step,features,data_split,normalization_method,train_loss,train_rmse,test_loss,test_rmse
16,5,"['dew', 'temp', 'press']",0.8,minmax,0.35258005056370306,0.5931548209550658,0.3508900809165199,0.5915079043330502
32,5,"['dew', 'temp', 'press']",0.8,minmax,0.3492928565810869,0.5899486803912952,0.3408534787318061,0.5829692327778341
64,5,"['dew', 'temp', 'press']",0.8,minmax,0.3381224401657692,0.5806296982148339,0.34077550283007846,0.583146315386586
64,5,['dew'],0.8,minmax,0.40207340397286156,0.6333104232617222,0.38184814745177525,0.6171228071110687
64,5,"['dew', 'temp']",0.8,minmax,0.3480665733081379,0.5889892312889449,0.37306823949337553,0.6099769115789181
64,5,"['dew', 'temp', 'press']",0.8,minmax,0.3382749757496507,0.5809736124638086,0.3408251677469724,0.5831883365246795
64,5,"['dew', 'temp', 'press']",0.7,minmax,0.33222191660282746,0.5756685074493417,0.33076037341141334,0.5742902132259755
64,5,"['dew', 'temp', 'press']",0.8,minmax,0.3347016207136013,0.5778880216151425,0.32475935832800423,0.5688416047033474
64,5,"['dew', 'temp', 'press']",0.9,minmax,0.3325523113583454,0.575861245315281,0.3512034515994716,0.5918966693781278
64,5,"['dew', 'temp', 'press']",0.8,minmax,0.32682134576981997,0.5709853204646381,0.30437613925595386,0.5507469552001342
64,5,"['dew', 'temp', 'press']",0.8,standard,0.34179301969173914,0.5840362670425695,0.33229256440007354,0.5758495411295582
64,3,"['dew', 'temp', 'press']",0.8,minmax,0.27659509492097684,0.5199131730762873,0.21247199084535198,0.4606342964202353
64,5,"['dew', 'temp', 'press']",0.8,minmax,0.33725652466109635,0.5799344336911482,0.3367899772877958,0.5796473483938317
64,7,"['dew', 'temp', 'press']",0.8,minmax,0.35805421756980754,0.5977088292451165,0.35310106362859295,0.5936725092207463
